rooms,area,living_area,kitchen_area,floor,total_floors,price_usd,price_per_m2,house_type,ceiling_height,condition,parking,furniture,district,latitude,longitude,null_counts,has_window_grills,security_high,bathroom_count,bathroom_type,balcony_type,wooden_floor,floor_relative,living_ratio,kitchen_ratio,building_age,building_stage
4,115.0,81.9940928443414,23.49319378966475,12.0,12.0,155233,1349,monolithic,3.0,new,private_parking,partially_furnished,Yesil,51.133322,71.38121,3,0,0,2,multiple,unknown,0,1.0,0.7129921116899252,0.2042886416492587,6,0
2,74.0,52.761416265054464,18.0,9.0,9.0,78579,1061,monolithic,2.85,new,private_parking,fully_furnished,Yesil,51.087417938217,71.481831943558,2,0,0,1,combined,loggia,0,1.0,0.7129921116899252,0.24324324324324326,6,0
3,95.0,67.73425061054289,19.407420956679577,2.0,8.0,72704,765,other,2.8,good,private_parking,fully_furnished,Saryshyk,51.11240799858,71.542991145769,2,0,1,2,multiple,loggia,0,0.25,0.7129921116899252,0.2042886416492587,5,0
3,71.8,51.192833619336625,12.1,1.0,10.0,73686,1026,brick,2.7,new,no_parking,fully_furnished,Saryshyk,51.127659,71.504127,3,1,0,1,separate,balcony,0,0.1,0.7129921116899252,0.16852367688022285,14,0
3,99.1,70.65751826847158,20.245004387441536,8.0,17.0,134601,1358,monolithic,3.0,unknown,private_parking,unfurnished,Yesil,51.102113797806,71.439955804359,4,0,1,2,multiple,loggia,0,0.47058823529411764,0.7129921116899252,0.2042886416492587,1,0
3,60.0,42.77952670139551,12.257318498955522,5.0,5.0,47159,785,monolithic,2.55,good,no_parking,fully_furnished,Almaty,51.151396079806,71.463410023619,5,0,0,1,separate,unknown,0,1.0,0.7129921116899252,0.2042886416492587,52,0
4,95.0,67.73425061054289,19.407420956679577,6.0,9.0,208288,2192,brick,3.0,unknown,private_parking,fully_furnished,Yesil,51.107955009446,71.435189017628,4,0,1,2,multiple,unknown,0,0.6666666666666666,0.7129921116899252,0.2042886416492587,3,0
1,42.07,29.995578138795153,13.52,3.0,5.0,27509,653,brick,2.7,rough,no_parking,unknown,Nura,51.123853014825,71.290893691054,5,0,0,1,combined,balcony,0,0.6,0.7129921116899252,0.321369146660328,1,0
2,47.4,33.79582609410245,9.683281614174861,14.0,14.0,43229,912,brick,2.7,unknown,private_parking,partially_furnished,Almaty,51.141907,71.476432,5,0,0,1,unknown,unknown,0,1.0,0.7129921116899252,0.2042886416492587,16,0
2,78.0,55.61338471181416,15.934514048642178,9.0,10.0,110039,1410,monolithic,3.0,new,private_parking,partially_furnished,Yesil,51.093736993934,71.425456738214,3,0,0,1,combined,loggia,0,0.9,0.7129921116899252,0.2042886416492587,10,0
1,39.0,27.80669235590708,7.967257024321089,8.0,14.0,49124,1259,monolithic,3.0,unknown,private_parking,unknown,Saryshyk,51.113877909608,71.481329798644,5,0,1,1,combined,balcony,0,0.5714285714285714,0.7129921116899252,0.2042886416492587,0,1
